K 30
MAX SUBP 5878960461428293632
LB 4978
UB 472135
solution value: 4981 | Subp 33 | Time 0.02s
solution value: 5019 | Subp 36 | Time 0.02s
solution value: 5031 | Subp 59 | Time 0.02s
solution value: 5035 | Subp 110 | Time 0.02s
solution value: 5036 | Subp 161 | Time 0.02s
solution value: 5041 | Subp 214 | Time 0.02s
solution value: 5048 | Subp 265 | Time 0.02s
solution value: 5063 | Subp 316 | Time 0.02s
solution value: 5084 | Subp 382 | Time 0.02s
solution value: 5105 | Subp 467 | Time 0.02s
solution value: 5109 | Subp 533 | Time 0.02s
solution value: 5123 | Subp 609 | Time 0.02s
solution value: 5124 | Subp 661 | Time 0.02s
solution value: 5131 | Subp 712 | Time 0.02s
solution value: 5136 | Subp 763 | Time 0.02s
solution value: 5150 | Subp 807 | Time 0.02s
solution value: 5172 | Subp 818 | Time 0.02s
solution value: 5173 | Subp 1044 | Time 0.02s
solution value: 5188 | Subp 1113 | Time 0.02s
solution value: 5210 | Subp 1478 | Time 0.02s
solution value: 5216 | Subp 1544 | Time 0.02s
solution value: 5220 | Subp 1620 | Time 0.02s
solution value: 5222 | Subp 2588 | Time 0.02s
solution value: 5233 | Subp 11898 | Time 0.06s
solution value: 5240 | Subp 11974 | Time 0.06s
solution value: 5242 | Subp 16616 | Time 0.07s
solution value: 5250 | Subp 16811 | Time 0.07s
solution value: 5257 | Subp 16819 | Time 0.07s
solution value: 5265 | Subp 17184 | Time 0.07s
solution value: 5272 | Subp 17251 | Time 0.07s
solution value: 5283 | Subp 17326 | Time 0.07s
solution value: 5289 | Subp 18294 | Time 0.08s
solution value: 5290 | Subp 6247146 | Time 21.94s
solution value: 5294 | Subp 6247169 | Time 21.94s
solution value: 5296 | Subp 203951277 | Time 686.71s
solution value: 5300 | Subp 203951300 | Time 686.71s
solution value: 5302 | Subp 210328878 | Time 707.37s
Record: 5302
Subp: 1101873824
Time 3600.00
44 92 120 164 229 297 324 377 447 494 545 581 628 669 701 799 844 855 927 966 1005 1077 1142 1183 1211 1253 1344 1378 1442 1457 
