K 20
MAX SUBP 8049755097373065728
LB 2222
UB 74164
solution value: 2234 | Subp 22 | Time 0.00s
solution value: 2243 | Subp 25 | Time 0.00s
solution value: 2259 | Subp 39 | Time 0.00s
solution value: 2260 | Subp 80 | Time 0.00s
solution value: 2262 | Subp 158 | Time 0.00s
solution value: 2282 | Subp 306 | Time 0.00s
solution value: 2293 | Subp 548 | Time 0.00s
solution value: 2294 | Subp 560 | Time 0.00s
solution value: 2319 | Subp 573 | Time 0.00s
solution value: 2321 | Subp 3945 | Time 0.00s
solution value: 2322 | Subp 6163 | Time 0.01s
solution value: 2328 | Subp 7161 | Time 0.01s
solution value: 2329 | Subp 7205 | Time 0.01s
solution value: 2343 | Subp 8353 | Time 0.01s
solution value: 2344 | Subp 12734 | Time 0.01s
solution value: 2358 | Subp 23670 | Time 0.02s
solution value: 2365 | Subp 167942 | Time 0.13s
solution value: 2368 | Subp 175678 | Time 0.13s
solution value: 2372 | Subp 189814 | Time 0.14s
solution value: 2384 | Subp 190995 | Time 0.14s
solution value: 2392 | Subp 17912742 | Time 13.69s
solution value: 2397 | Subp 17917125 | Time 13.70s
solution value: 2399 | Subp 17923457 | Time 13.70s
solution value: 2406 | Subp 17923546 | Time 13.70s
solution value: 2414 | Subp 17923713 | Time 13.70s
solution value: 2420 | Subp 17924894 | Time 13.70s
solution value: 2421 | Subp 18056918 | Time 13.80s
solution value: 2423 | Subp 18817345 | Time 14.38s
solution value: 2430 | Subp 35730339 | Time 27.27s
solution value: 2437 | Subp 35872016 | Time 27.37s
solution value: 2454 | Subp 35872030 | Time 27.37s
solution value: 2455 | Subp 624997575 | Time 542.06s
solution value: 2459 | Subp 632993730 | Time 548.22s
solution value: 2465 | Subp 633017758 | Time 548.23s
solution value: 2468 | Subp 1171727070 | Time 1042.94s
solution value: 2473 | Subp 2788130530 | Time 2511.81s
solution value: 2486 | Subp 2789250115 | Time 2512.65s
Record: 2486
Subp: 3912300072
Time 3600.00
26 31 45 46 81 99 134 146 159 188 197 226 239 264 269 293 318 327 339 351 
