K 20
MAX SUBP -8109656823722455040
LB 2112
UB 61368
solution value: 2115 | Subp 23 | Time 0.00s
solution value: 2122 | Subp 35 | Time 0.00s
solution value: 2132 | Subp 50 | Time 0.00s
solution value: 2134 | Subp 150 | Time 0.00s
solution value: 2145 | Subp 164 | Time 0.00s
solution value: 2156 | Subp 195 | Time 0.00s
solution value: 2163 | Subp 214 | Time 0.00s
solution value: 2165 | Subp 671 | Time 0.00s
solution value: 2167 | Subp 796 | Time 0.00s
solution value: 2172 | Subp 811 | Time 0.00s
solution value: 2174 | Subp 825 | Time 0.00s
solution value: 2178 | Subp 1011 | Time 0.00s
solution value: 2179 | Subp 3099 | Time 0.00s
solution value: 2181 | Subp 3225 | Time 0.00s
solution value: 2197 | Subp 3325 | Time 0.00s
solution value: 2201 | Subp 14004 | Time 0.01s
solution value: 2203 | Subp 14104 | Time 0.01s
solution value: 2204 | Subp 14204 | Time 0.01s
solution value: 2207 | Subp 14424 | Time 0.01s
solution value: 2212 | Subp 47554 | Time 0.03s
solution value: 2213 | Subp 50781 | Time 0.04s
solution value: 2216 | Subp 51727 | Time 0.04s
solution value: 2229 | Subp 53085 | Time 0.04s
solution value: 2233 | Subp 56521 | Time 0.04s
solution value: 2234 | Subp 63954 | Time 0.04s
solution value: 2241 | Subp 64174 | Time 0.04s
solution value: 2243 | Subp 101458 | Time 0.07s
solution value: 2250 | Subp 113455 | Time 0.08s
solution value: 2255 | Subp 113885 | Time 0.08s
solution value: 2256 | Subp 116902 | Time 0.08s
solution value: 2261 | Subp 116916 | Time 0.08s
solution value: 2262 | Subp 117132 | Time 0.08s
solution value: 2264 | Subp 118069 | Time 0.08s
solution value: 2265 | Subp 118084 | Time 0.08s
solution value: 2269 | Subp 118095 | Time 0.08s
solution value: 2283 | Subp 118108 | Time 0.08s
solution value: 2286 | Subp 3496406 | Time 2.33s
solution value: 2303 | Subp 3496425 | Time 2.33s
solution value: 2307 | Subp 3510139 | Time 2.34s
solution value: 2325 | Subp 8000841 | Time 5.34s
solution value: 2340 | Subp 166794520 | Time 110.34s
solution value: 2344 | Subp 171276656 | Time 113.35s
solution value: 2349 | Subp 171285232 | Time 113.36s
solution value: 2352 | Subp 171286384 | Time 113.36s
solution value: 2365 | Subp 171293246 | Time 113.37s
solution value: 2368 | Subp 171298966 | Time 113.37s
Record: 2368
Subp: 5341282909
Time 3600.00
11 29 39 50 57 93 119 129 146 153 163 168 197 198 212 217 224 267 275 305 
