K 10
MAX SUBP 590490000000000
LB 514
UB 30144
solution value: 526 | Subp 28 | Time 0.00s
solution value: 529 | Subp 46 | Time 0.00s
solution value: 545 | Subp 59 | Time 0.00s
solution value: 550 | Subp 90 | Time 0.00s
solution value: 556 | Subp 123 | Time 0.00s
solution value: 557 | Subp 154 | Time 0.00s
solution value: 569 | Subp 186 | Time 0.00s
solution value: 572 | Subp 337 | Time 0.00s
solution value: 576 | Subp 866 | Time 0.00s
solution value: 579 | Subp 1331 | Time 0.00s
solution value: 581 | Subp 1795 | Time 0.00s
solution value: 589 | Subp 1887 | Time 0.00s
solution value: 590 | Subp 3257 | Time 0.01s
solution value: 593 | Subp 3305 | Time 0.01s
solution value: 606 | Subp 3340 | Time 0.01s
solution value: 607 | Subp 3371 | Time 0.01s
solution value: 608 | Subp 3408 | Time 0.01s
solution value: 611 | Subp 11809 | Time 0.02s
solution value: 616 | Subp 31255 | Time 0.04s
solution value: 630 | Subp 31409 | Time 0.04s
solution value: 633 | Subp 87735 | Time 0.10s
solution value: 648 | Subp 115266 | Time 0.13s
solution value: 649 | Subp 115288 | Time 0.13s
solution value: 658 | Subp 115292 | Time 0.13s
solution value: 660 | Subp 115297 | Time 0.13s
solution value: 662 | Subp 869894 | Time 0.92s
solution value: 665 | Subp 925796 | Time 0.98s
solution value: 667 | Subp 952408 | Time 1.01s
solution value: 672 | Subp 953348 | Time 1.01s
solution value: 675 | Subp 953807 | Time 1.01s
solution value: 679 | Subp 1009265 | Time 1.07s
solution value: 687 | Subp 1009729 | Time 1.07s
solution value: 691 | Subp 6146351 | Time 6.44s
solution value: 693 | Subp 6146383 | Time 6.44s
solution value: 698 | Subp 6149204 | Time 6.44s
solution value: 699 | Subp 55204630 | Time 58.07s
solution value: 707 | Subp 56042330 | Time 58.96s
solution value: 711 | Subp 116572711 | Time 123.07s
solution value: 713 | Subp 116677531 | Time 123.19s
solution value: 718 | Subp 1614940940 | Time 1701.39s
solution value: 724 | Subp 3040312358 | Time 3207.02s
Record: 724
Subp: 3411703893
Time 3600.00
18 58 76 118 147 159 208 210 247 283 
