K 20
MAX SUBP 7766279631452241920
LB 2321
UB 42462
solution value: 2325 | Subp 358 | Time 0.00s
solution value: 2333 | Subp 372 | Time 0.00s
solution value: 2335 | Subp 2600 | Time 0.00s
solution value: 2340 | Subp 3633 | Time 0.00s
solution value: 2357 | Subp 3735 | Time 0.00s
solution value: 2360 | Subp 5963 | Time 0.01s
solution value: 2367 | Subp 28111 | Time 0.02s
solution value: 2382 | Subp 28125 | Time 0.02s
solution value: 2384 | Subp 524256 | Time 0.34s
solution value: 2388 | Subp 524270 | Time 0.34s
solution value: 2407 | Subp 548586 | Time 0.36s
solution value: 2409 | Subp 548600 | Time 0.36s
solution value: 2410 | Subp 5578416 | Time 3.66s
solution value: 2417 | Subp 9138605 | Time 5.99s
solution value: 2421 | Subp 9155207 | Time 6.00s
solution value: 2439 | Subp 18312273 | Time 11.98s
solution value: 2440 | Subp 18312285 | Time 11.98s
solution value: 2447 | Subp 18312298 | Time 11.98s
solution value: 2451 | Subp 18795148 | Time 12.29s
solution value: 2468 | Subp 18819138 | Time 12.31s
solution value: 2471 | Subp 329454316 | Time 239.99s
solution value: 2473 | Subp 329454320 | Time 239.99s
solution value: 2479 | Subp 329457653 | Time 239.99s
solution value: 2488 | Subp 331977261 | Time 241.66s
solution value: 2492 | Subp 331977275 | Time 241.66s
solution value: 2501 | Subp 331977336 | Time 241.66s
solution value: 2506 | Subp 606086121 | Time 446.75s
solution value: 2507 | Subp 606097038 | Time 446.75s
solution value: 2511 | Subp 606108009 | Time 446.76s
solution value: 2515 | Subp 890986714 | Time 659.17s
solution value: 2516 | Subp 890986778 | Time 659.17s
solution value: 2517 | Subp 1117489172 | Time 834.69s
solution value: 2518 | Subp 1551089958 | Time 1176.14s
solution value: 2525 | Subp 1551807036 | Time 1176.62s
solution value: 2529 | Subp 1551807050 | Time 1176.62s
solution value: 2534 | Subp 1551807079 | Time 1176.62s
solution value: 2544 | Subp 4208342637 | Time 3400.31s
solution value: 2547 | Subp 4461701569 | Time 3596.13s
solution value: 2551 | Subp 4462296209 | Time 3596.54s
Record: 2551
Subp: 4467253324
Time 3600.00
9 12 24 34 44 58 68 71 88 95 107 117 123 139 144 156 166 174 187 192 
