K 30
MAX SUBP 3205870336851574784
LB 4692
UB 234072
solution value: 4694 | Subp 34 | Time 0.00s
solution value: 4723 | Subp 46 | Time 0.00s
solution value: 4729 | Subp 49 | Time 0.00s
solution value: 4730 | Subp 58 | Time 0.00s
solution value: 4734 | Subp 61 | Time 0.00s
solution value: 4747 | Subp 64 | Time 0.00s
solution value: 4779 | Subp 79 | Time 0.00s
solution value: 4785 | Subp 82 | Time 0.00s
solution value: 4788 | Subp 95 | Time 0.00s
solution value: 4796 | Subp 98 | Time 0.00s
solution value: 4800 | Subp 113 | Time 0.00s
solution value: 4814 | Subp 157 | Time 0.00s
solution value: 4819 | Subp 173 | Time 0.00s
solution value: 4831 | Subp 179 | Time 0.00s
solution value: 4833 | Subp 362 | Time 0.00s
solution value: 4835 | Subp 365 | Time 0.00s
solution value: 4840 | Subp 379 | Time 0.00s
solution value: 4842 | Subp 541 | Time 0.00s
solution value: 4852 | Subp 545 | Time 0.00s
solution value: 4857 | Subp 550 | Time 0.00s
solution value: 4858 | Subp 562 | Time 0.00s
solution value: 4869 | Subp 602 | Time 0.00s
solution value: 4888 | Subp 608 | Time 0.00s
solution value: 4892 | Subp 624 | Time 0.00s
solution value: 4898 | Subp 2255 | Time 0.01s
solution value: 4908 | Subp 2984 | Time 0.01s
solution value: 4910 | Subp 2986 | Time 0.01s
solution value: 4912 | Subp 2990 | Time 0.01s
solution value: 4913 | Subp 2991 | Time 0.01s
solution value: 4917 | Subp 4441 | Time 0.01s
solution value: 4935 | Subp 4459 | Time 0.01s
solution value: 4947 | Subp 4476 | Time 0.01s
solution value: 4956 | Subp 8648 | Time 0.02s
solution value: 4958 | Subp 8833 | Time 0.02s
solution value: 4960 | Subp 23296 | Time 0.03s
solution value: 4970 | Subp 60857 | Time 0.08s
solution value: 4972 | Subp 83975 | Time 0.11s
solution value: 4973 | Subp 83992 | Time 0.11s
solution value: 4974 | Subp 107831 | Time 0.14s
solution value: 4981 | Subp 107835 | Time 0.14s
solution value: 4984 | Subp 112177 | Time 0.15s
solution value: 4991 | Subp 1079700 | Time 1.41s
solution value: 4993 | Subp 1117262 | Time 1.45s
solution value: 4996 | Subp 1164211 | Time 1.51s
solution value: 5002 | Subp 3196066 | Time 4.17s
solution value: 5009 | Subp 3196081 | Time 4.17s
solution value: 5031 | Subp 3200253 | Time 4.17s
solution value: 5033 | Subp 3200269 | Time 4.17s
solution value: 5036 | Subp 3303712 | Time 4.31s
solution value: 5041 | Subp 4411588 | Time 5.75s
solution value: 5050 | Subp 4415934 | Time 5.75s
solution value: 5055 | Subp 6752680 | Time 8.80s
solution value: 5058 | Subp 6854326 | Time 8.93s
solution value: 5059 | Subp 6855967 | Time 8.94s
solution value: 5062 | Subp 13944918 | Time 18.22s
solution value: 5065 | Subp 29566490 | Time 38.66s
solution value: 5066 | Subp 32836850 | Time 42.94s
solution value: 5075 | Subp 137897823 | Time 181.40s
solution value: 5076 | Subp 137897839 | Time 181.40s
solution value: 5083 | Subp 138231586 | Time 181.84s
solution value: 5085 | Subp 138235932 | Time 181.84s
solution value: 5087 | Subp 139014047 | Time 182.86s
solution value: 5093 | Subp 139117318 | Time 182.99s
solution value: 5103 | Subp 141473434 | Time 186.07s
solution value: 5110 | Subp 149203930 | Time 196.17s
solution value: 5114 | Subp 149212970 | Time 196.18s
solution value: 5118 | Subp 205959485 | Time 270.79s
solution value: 5126 | Subp 946304350 | Time 1268.49s
solution value: 5134 | Subp 946304367 | Time 1268.49s
solution value: 5138 | Subp 1596071106 | Time 2152.79s
solution value: 5139 | Subp 1602274843 | Time 2160.93s
solution value: 5142 | Subp 1603007190 | Time 2161.89s
solution value: 5144 | Subp 1603016591 | Time 2161.90s
Record: 5144
Subp: 2648544611
Time 3600.00
8 75 101 117 125 155 168 224 232 247 265 280 301 330 362 387 413 436 445 525 550 564 603 626 654 666 685 697 728 732 
